epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
1406,0.8506873697042465,,1902.69,52987,1902.69
1407,0.8455778807401657,,9.53,53016,1912.22
1408,0.8356371894478798,,9.26,52679,1921.48
1409,0.775959849357605,,9.65,52680,1931.13
1410,0.8799539804458618,0.9206862052281698,9.98,52476,1941.10
1411,0.8730907812714577,,9.67,52742,1950.77
1412,0.8040312826633453,,9.97,52228,1960.75
1413,0.8406032025814056,,9.75,52843,1970.49
1414,0.8501380458474159,,9.34,52582,1979.84
1415,0.7705446183681488,0.9112167557080587,9.56,52680,1989.40
1416,0.8479374870657921,,9.93,52728,1999.32
1417,0.8138502612709999,,9.48,52670,2008.81
1418,0.7852218151092529,,9.43,52199,2018.23
1419,0.7639969289302826,,10.18,52372,2028.41
1420,0.8228563144803047,0.8815690875053406,15.39,52802,2043.80
1421,0.7874718531966209,,9.31,52351,2053.11
1422,0.8264098614454269,,9.43,52570,2062.54
1423,0.7885634750127792,,8.96,52338,2071.50
1424,0.7753597423434258,,8.97,52405,2080.47
1425,0.7632854506373405,0.8759425481160482,9.13,52910,2089.60
1426,0.8179425671696663,,9.51,52868,2099.11
1427,0.8216737061738968,,9.66,52467,2108.77
1428,0.813590981066227,,9.72,52946,2118.48
1429,0.8609200641512871,,9.40,52674,2127.88
1430,0.8336662203073502,0.9483963449796041,9.48,52759,2137.36
1431,0.8083093538880348,,9.19,52519,2146.54
1432,0.8406357243657112,,9.14,52331,2155.69
1433,0.8248037099838257,,9.21,52875,2164.90
1434,0.8548426553606987,,9.49,52582,2174.39
1435,0.8234659060835838,0.8975211580594381,9.42,52626,2183.81
1436,0.8196795955300331,,9.49,52847,2193.29
1437,0.790266253054142,,9.71,52582,2203.00
1438,0.7918291985988617,,8.84,52632,2211.84
1439,0.7731360346078873,,9.28,52836,2221.11
1440,0.8396772742271423,0.9037403265635172,9.24,52959,2230.35
1441,0.7372634559869766,,9.76,52223,2240.11
1442,0.8277004659175873,,9.34,52666,2249.46
1443,0.8489038646221161,,9.71,52633,2259.17
1444,0.8435909301042557,,9.18,52523,2268.35
1445,0.8136082664132118,0.8907204270362854,9.07,52480,2277.42
1446,0.8015049695968628,,9.81,52549,2287.23
1447,0.9044628739356995,,9.14,52382,2296.36
1448,0.7677239030599594,,9.55,52703,2305.91
1449,0.8471848890185356,,9.59,52594,2315.50
1450,0.7895130142569542,0.988224466641744,9.38,52877,2324.88
1451,0.8170840591192245,,9.33,52615,2334.21
1452,0.8069680258631706,,9.14,52867,2343.34
1453,0.8447167947888374,,8.86,52279,2352.20
1454,0.8136674836277962,,8.70,53202,2360.90
1455,0.8443381264805794,0.8596012393633524,9.86,52504,2370.77
1456,0.8422239497303963,,9.71,52543,2380.47
1457,0.7998767271637917,,9.41,52456,2389.88
