epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
1,1.9525229781866074,1.9773521423339844,89.06,53153,89.06
2,1.9883882999420166,,8.49,52782,97.55
3,1.942933276295662,,8.47,52484,106.02
4,1.9874780774116516,,8.46,52694,114.48
5,1.982095628976822,1.9603607257207234,8.42,52487,122.90
6,1.9907191842794418,,7.63,52910,130.53
7,2.0340310633182526,,8.39,52597,138.93
8,1.9275784641504288,,7.88,52716,146.81
9,1.9776228964328766,,8.49,52686,155.30
10,1.9330279380083084,1.9369220336278279,7.75,52698,163.05
11,1.9726583510637283,,8.03,52540,171.07
12,1.9866701066493988,,7.98,52501,179.05
13,1.9332401007413864,,8.57,52707,187.62
14,1.9222381711006165,,8.25,52039,195.88
15,1.9774885028600693,1.8828277587890625,7.59,52784,203.47
16,1.882702112197876,,7.95,52677,211.42
17,1.8997912406921387,,7.71,52532,219.13
18,1.89450603723526,,7.23,52420,226.35
19,1.8853222876787186,,7.65,52550,234.00
20,1.7884391844272614,1.7123355468114216,7.72,52498,241.72
21,1.7835479825735092,,7.38,52475,249.10
22,1.7803174704313278,,7.47,52872,256.58
23,1.825114592909813,,8.25,52475,264.83
24,1.8048032224178314,,8.31,52580,273.14
25,1.8304546028375626,1.707142988840739,7.91,52910,281.05
26,1.790181040763855,,7.52,52542,288.57
27,1.724119320511818,,7.62,52632,296.19
28,1.8270460665225983,,7.46,52696,303.65
29,1.6916441768407822,,8.02,52573,311.67
30,1.766958862543106,1.6139923334121704,8.22,52326,319.88
31,1.727630466222763,,7.56,52847,327.45
32,1.7709229737520218,,8.27,52542,335.72
33,1.7563599199056625,,7.77,52930,343.49
34,1.7726710736751556,,7.13,52478,350.62
35,1.7488839328289032,1.6152976751327515,7.40,52434,358.02
36,1.704348400235176,,7.98,52891,366.00
37,1.662451758980751,,7.68,52482,373.68
38,1.6067949384450912,,7.89,52567,381.57
39,1.6856267899274826,,7.61,52404,389.18
40,1.5801008492708206,1.6377052466074626,7.65,52696,396.83
41,1.6094598323106766,,7.41,52551,404.24
42,1.5867252349853516,,8.13,52741,412.37
43,1.6057509928941727,,7.78,52576,420.14
44,1.5817403048276901,,7.57,52691,427.71
45,1.4803273677825928,1.4759526252746582,7.95,52621,435.67
46,1.5440918058156967,,7.35,52343,443.02
