step,train_loss,val_loss
1.0,1.2017591685056686,1.905551505088806
2.0,1.0077812179923058,
3.0,0.95930006057024,
4.0,0.937723970413208,
5.0,0.9000053495168686,1.6653603315353394
6.0,0.8717158228158951,
7.0,0.9065195694565773,
8.0,0.881661382317543,
9.0,0.8397658228874206,
10.0,0.8396422103047371,1.5165089249610901
11.0,0.8256846860051155,
12.0,0.8161200881004333,
13.0,0.8092293038964271,
14.0,0.7883193925023079,
15.0,0.787133751809597,1.486873412132263
16.0,0.7846001401543617,
17.0,0.7771947212517262,
18.0,0.7801550656557084,
19.0,0.7684617131948471,
20.0,0.7594797372817993,1.460418450832367
21.0,0.7662426717579365,
22.0,0.7580941386520863,
23.0,0.7532655343413353,
24.0,0.7570484779775143,
25.0,0.7644515462219715,1.4751485109329223
26.0,0.7486617021262646,
27.0,0.7409427210688591,
28.0,0.7536900237202644,
29.0,0.7461389884352684,
30.0,0.7399033069610595,1.457423949241638
31.0,0.7401942431926727,
32.0,0.7434380896389484,
33.0,0.7393531993031501,
34.0,0.7422953307628631,
35.0,0.7445511251688004,1.437031054496765
36.0,0.7386524498462677,
37.0,0.7359011545777321,
38.0,0.7326720386743546,
39.0,0.7355567172169686,
40.0,0.7368895322084427,1.4565759658813477
41.0,0.7301465235650539,
42.0,0.7454265117645263,
43.0,0.7284039556980133,
44.0,0.7265656657516957,
45.0,0.7210682056844234,1.456474781036377
46.0,0.7107975587248803,
47.0,0.7123284384608268,
48.0,0.7009543761610985,
49.0,0.6916611447930336,
50.0,0.6841055460274219,1.3885611653327943
51.0,0.68328278362751,
52.0,0.6742545932531356,
53.0,0.6720668002963066,
54.0,0.6690920129418373,
55.0,0.6627831242978572,1.3487173318862915
56.0,0.6652883559465408,
57.0,0.6625275067985058,
58.0,0.6585636507719755,
59.0,0.6539741434156895,
60.0,0.6482575207948684,1.3462198615074157
61.0,0.6398376643657684,
62.0,0.6315601415932178,
63.0,0.6342824384570122,
64.0,0.6359599865972996,
65.0,0.6356749258935451,1.3063504934310912
66.0,0.630173708498478,
67.0,0.6216236867010594,
68.0,0.6205180376768112,
69.0,0.6190395563840866,
70.0,0.6224646486341954,1.2788500785827637
71.0,0.6293009139597416,
72.0,0.6249722361564636,
73.0,0.6279011063277722,
74.0,0.6152616783976554,
75.0,0.6092423781752586,1.2798890829086305
76.0,0.6121839724481106,
77.0,0.6095379680395127,
78.0,0.6085064209997654,
79.0,0.6077672742307186,
80.0,0.6111990094184876,1.2559768080711364
81.0,0.6069271713495255,
82.0,0.605576778203249,
83.0,0.6061393216252327,
84.0,0.6025002837181092,
85.0,0.6032069832086563,1.2511669993400574
86.0,0.6012904092669487,
87.0,0.6024899430572986,
88.0,0.6001866050064564,
89.0,0.5977228492498398,
90.0,0.5982619144022465,1.2653175115585327
91.0,0.5988729685544968,
92.0,0.5969122111797333,
93.0,0.6001249074935913,
94.0,0.6003131501376628,
95.0,0.6008731335401535,1.242107105255127
96.0,0.6007762640714646,
97.0,0.5932861797511577,
98.0,0.5939137130975723,
99.0,0.5953400820493698,
100.0,0.596407587826252,1.2570599913597107
101.0,0.5935763277113437,
102.0,0.5892332628369331,
103.0,0.5901449471712112,
104.0,0.5913874037563801,
105.0,0.5948130205273628,1.2557886600494386
106.0,0.5899532988667489,
107.0,0.5930711477994919,
108.0,0.5933365523815155,
109.0,0.5855280794203281,
110.0,0.5921898789703846,1.2486294865608216
111.0,0.583885470032692,
112.0,0.5923582285642623,
113.0,0.59231770709157,
114.0,0.5846490480005742,
115.0,0.5904350288212299,1.242713725566864
116.0,0.5824761606752873,
117.0,0.5824885427951813,
118.0,0.5815115593373775,
119.0,0.5862538069486618,
120.0,0.5885100573301315,1.248089861869812
121.0,0.5800052627921104,
122.0,0.5809505604207515,
123.0,0.5814267173409462,
124.0,0.5869328446686268,
125.0,0.5819669686257839,1.250529682636261
126.0,0.5828266032040119,
127.0,0.5801763474941254,
128.0,0.5832687191665172,
129.0,0.5823488079011441,
130.0,0.5818925246596336,1.2545665979385376
131.0,0.5800555676221848,
132.0,0.5823908396065235,
133.0,0.5827006086707115,
134.0,0.5806312449276447,
135.0,0.5843177951872349,1.2421169996261596
136.0,0.589781130105257,
137.0,0.589079687744379,
138.0,0.5848398227244616,
139.0,0.5814527131617069,
140.0,0.5763155840337276,1.2443505883216859
141.0,0.575003857165575,
142.0,0.5819794289767742,
143.0,0.5821134462952614,
144.0,0.5780150763690471,
145.0,0.5798044510185718,1.2400362730026244
146.0,0.5763623476028442,
147.0,0.5830872192978859,
148.0,0.5819661237299443,
149.0,0.5786540806293488,
150.0,0.5740233547985554,1.2283586025238038
151.0,0.5743465811014176,
152.0,0.5760887078940868,
153.0,0.5728453442454338,
154.0,0.5737942382693291,
155.0,0.579415962845087,1.2178532600402832
156.0,0.5774758338928223,
157.0,0.5748346820473671,
158.0,0.5757650904357433,
159.0,0.572910713404417,
160.0,0.5800405696034432,1.2035943984985351
161.0,0.5782244890928269,
162.0,0.5737642548978329,
163.0,0.5732453763484955,
164.0,0.5764867477118969,
165.0,0.5692109614610672,1.2225974678993226
166.0,0.5768618062138557,
167.0,0.5785302825272083,
168.0,0.5772810749709606,
169.0,0.5736159764230251,
170.0,0.5744551673531533,1.2560513496398926
171.0,0.5716659516096115,
172.0,0.5702459089457989,
173.0,0.5748786486685276,
174.0,0.5732769697904587,
175.0,0.5750859156250954,1.2392840147018434
176.0,0.5712454117834568,
177.0,0.5753491528332233,
178.0,0.5735670268535614,
179.0,0.5755043447017669,
180.0,0.5702005520462989,1.2397059321403503
181.0,0.5739276222884655,
182.0,0.571139745414257,
183.0,0.5688359804451466,
184.0,0.5691751774400473,
185.0,0.5741485483944416,1.2314453363418578
186.0,0.5653504796326161,
187.0,0.5702261351048946,
188.0,0.5728869058191777,
189.0,0.5716582484543323,
190.0,0.5706444166600704,1.2484691381454467
191.0,0.5692698433995247,
192.0,0.5636819839477539,
193.0,0.5660112522542476,
194.0,0.5671581499278545,
195.0,0.5738627575337887,1.2431671142578125
196.0,0.5684513047337532,
197.0,0.5715357974171639,
198.0,0.5739627957344056,
199.0,0.5718432329595089,
200.0,0.5680563218891621,1.251216459274292
201.0,0.5682578079402447,
202.0,0.5701114051043987,
203.0,0.5715724885463714,
204.0,0.5702925503253937,
205.0,0.5763538390398025,1.2578104734420776
206.0,0.5698750093579292,
207.0,0.5703243970870971,
208.0,0.5742156513035297,
209.0,0.5687601551413536,
210.0,0.5673166289925575,1.2448105335235595
211.0,0.5739594332873821,
212.0,0.5598284400999546,
213.0,0.5626809984445572,
214.0,0.5712322570383549,
215.0,0.565179669111967,1.2295745611190796
216.0,0.5687721878290176,
217.0,0.565705094113946,
218.0,0.5660106927156449,
219.0,0.5646769162267447,
220.0,0.5729504570364952,1.2649836540222168
221.0,0.5734199687838555,
222.0,0.5649171862751245,
223.0,0.5699521973729134,
224.0,0.5668544217944145,
225.0,0.567143839597702,1.2354662418365479
226.0,0.5624203890562057,
227.0,0.5634325563907623,
228.0,0.5689561627805233,
229.0,0.5682963445782662,
230.0,0.565192798525095,1.249629557132721
231.0,0.5698556363582611,
232.0,0.5708824343979358,
233.0,0.5709465734660626,
234.0,0.5657454855740071,
235.0,0.5687739431858063,1.243734633922577
236.0,0.5658463016152382,
237.0,0.5676468819379806,
238.0,0.5662929475307464,
239.0,0.5627246659249068,
240.0,0.5682312950491906,1.2304831266403198
241.0,0.5624899625778198,
242.0,0.5679287724196911,
243.0,0.568869061768055,
244.0,0.5640114434063435,
245.0,0.5650928251445293,1.2422813892364502
246.0,0.5660044468939305,
247.0,0.562938155978918,
248.0,0.5649061396718025,
249.0,0.5613089442253113,
250.0,0.5643756680190564,1.2443674445152282
251.0,0.5666894845664501,
252.0,0.5664480164647102,
253.0,0.5719284109771252,
254.0,0.5659579314291477,
255.0,0.5691308133304119,1.253870391845703
256.0,0.566236937046051,
257.0,0.5693711802363396,
258.0,0.5678106211125851,
259.0,0.5666631475090981,
260.0,0.5642923012375831,1.2624074578285218
261.0,0.5633385315537452,
262.0,0.5625050894916057,
263.0,0.5644919387996197,
264.0,0.5695695713162422,
265.0,0.5663087673485279,1.2651720762252807
266.0,0.5593981869518757,
267.0,0.559666995704174,
268.0,0.5632541257888078,
269.0,0.567054419964552,
