step,diffusion_loss
0.0,1.001166820526123
200.0,0.3342909514904022
400.0,0.09445412456989288
600.0,0.024269485846161842
800.0,0.2617405951023102
1000.0,0.08516671508550644
1200.0,0.01662435010075569
1400.0,0.02054067701101303
1600.0,0.15827223658561707
1800.0,0.1030150055885315
2000.0,0.043057214468717575
2200.0,0.312107115983963
2400.0,0.20456267893314362
2600.0,0.08283168077468872
2800.0,0.040513988584280014
3000.0,0.07081252336502075
3200.0,0.12155868113040924
3400.0,0.15486988425254822
3600.0,0.19754356145858765
3800.0,0.09467918425798416
4000.0,0.17314593493938446
4200.0,0.08330307900905609
4400.0,0.011571528390049934
4600.0,0.12432287633419037
4800.0,0.07661542296409607
5000.0,0.08270714432001114
5200.0,0.08824028074741364
5400.0,0.1079765111207962
5600.0,0.1132260337471962
5800.0,0.09417306631803513
6000.0,0.011576663702726364
6200.0,0.1596919596195221
6400.0,0.050876714289188385
6600.0,0.1270855814218521
6800.0,0.17235998809337616
7000.0,0.013120139017701149
7200.0,0.03571872040629387
7400.0,0.22036337852478027
7600.0,0.06458814442157745
7800.0,0.20875957608222961
8000.0,0.17409521341323853
8200.0,0.029871724545955658
8400.0,0.04462095722556114
8600.0,0.12491533905267715
8800.0,0.19839543104171753
9000.0,0.0801297128200531
9200.0,0.13453426957130432
9400.0,0.04674492031335831
9600.0,0.06757927685976028
9800.0,0.08718501031398773
10000.0,0.07388134300708771
10200.0,0.08287477493286133
10400.0,0.05921736732125282
10600.0,0.13524097204208374
10800.0,0.030949577689170837
11000.0,0.05375176668167114
11200.0,0.2874941825866699
11400.0,0.05149029567837715
11600.0,0.02303352579474449
11800.0,0.1478937268257141
12000.0,0.15805688500404358
12200.0,0.08703379333019257
12400.0,0.026400111615657806
12600.0,0.10210773348808289
12800.0,0.018007703125476837
13000.0,0.023136459290981293
13200.0,0.12779393792152405
13400.0,0.20128048956394196
13600.0,0.03430432826280594
13800.0,0.13932305574417114
14000.0,0.14893685281276703
14200.0,0.014842687174677849
14400.0,0.1188645213842392
14600.0,0.21009045839309692
14800.0,0.053648848086595535
15000.0,0.057851411402225494
15200.0,0.19243697822093964
15400.0,0.08884398639202118
15600.0,0.06487977504730225
15800.0,0.06181887537240982
16000.0,0.03779595345258713
16200.0,0.12282629311084747
16400.0,0.03496876731514931
16600.0,0.09146247059106827
16800.0,0.05199091136455536
17000.0,0.02384955808520317
17200.0,0.04313476383686066
17400.0,0.13770349323749542
17600.0,0.08095928281545639
17800.0,0.18116873502731323
18000.0,0.10432184487581253
18200.0,0.022642988711595535
18400.0,0.04876483976840973
18600.0,0.23727749288082123
18800.0,0.04883761703968048
19000.0,0.19765837490558624
19200.0,0.08870401978492737
19400.0,0.09519713371992111
19600.0,0.08354382961988449
19800.0,0.06262727826833725
20000.0,0.04335789754986763
20200.0,0.22148746252059937
20400.0,0.04934636503458023
20600.0,0.05270138755440712
20800.0,0.08352294564247131
21000.0,0.028232458978891373
21200.0,0.11511554569005966
21400.0,0.012430301867425442
21600.0,0.15009045600891113
21800.0,0.07135745882987976
22000.0,0.02225479856133461
22200.0,0.2285223752260208
22400.0,0.17300617694854736
22600.0,0.11140357702970505
22800.0,0.2044496089220047
23000.0,0.09812214970588684
23200.0,0.23997841775417328
23400.0,0.035593580454587936
23600.0,0.15615993738174438
23800.0,0.14523646235466003
24000.0,0.08990558981895447
24200.0,0.011342441663146019
24400.0,0.039759036153554916
24600.0,0.1636190414428711
24800.0,0.09103058278560638
25000.0,0.021597905084490776
25200.0,0.18039125204086304
25400.0,0.16141103208065033
25600.0,0.01182853989303112
25800.0,0.141114741563797
26000.0,0.31066396832466125
