step,train_mse,latent_rms,train_rel_l2,latent_dependence,heldout_codec_rel_l2
0.0,0.10229008367492093,0.00018190385890193284,1.066308856010437,0.004650543909519911,0.7379915118217468
1.0,0.06534749403595924,0.00027022487483918667,,,
2.0,0.05406395445681281,0.00036024319706484675,,,
3.0,0.05061679366148181,0.0004553938051685691,,,
4.0,0.04947115612940656,0.0005637667491100729,,,
5.0,0.049381363710595504,0.0007283556624315679,,,
6.0,0.049317001526554424,0.0008677800069563091,,,
7.0,0.04830689059363471,0.0010501508368179202,,,
8.0,0.04622503358870745,0.0012799211544916034,,,
9.0,0.04479299159927501,0.0014929950702935457,0.7598853409290314,,
10.0,0.04374569298906459,0.0016779210418462753,,,
11.0,0.04235888522532251,0.0018386745359748602,,,
12.0,0.04089636870763368,0.0019907476380467415,,,
13.0,0.042016501906845305,0.002126349601894617,,,
14.0,0.03556658238793413,0.0022359031718224287,,,
15.0,0.03222929384145472,0.0023155496455729008,,,
16.0,0.03181855964784821,0.0024086087942123413,,,
17.0,0.03028672579055031,0.0024886506143957376,,,
18.0,0.02847163724609547,0.0025297319516539574,,,
19.0,0.028172232854283517,0.0025952148716896772,0.6331767700612545,,
20.0,0.02690134878166848,0.002615886041894555,,,
21.0,0.02541761177074578,0.0026197899132966995,,,
22.0,0.024700027166141406,0.00266234646551311,,,
23.0,0.02376676864715086,0.0026972866617143154,,,
24.0,0.023030673203368983,0.0027442416176199913,,,
25.0,0.022390103387749858,0.002757327863946557,,,
26.0,0.022046263057531584,0.0027575790882110596,,,
27.0,0.021778021824235716,0.0027661186177283525,,,
28.0,0.021582258915942575,0.00275041232816875,,,
20.0,0.026898572726382148,0.002615897450596094,0.6246491335332394,0.27543675899505615,0.8222017288208008
21.0,0.02541622943141394,0.0026197433471679688,,,
22.0,0.02469918794102139,0.0026621457654982805,,,
23.0,0.02376781701006823,0.002697140211239457,,,
24.0,0.023029611783309114,0.002744153840467334,,,
25.0,0.022390858123285902,0.0027574265841394663,,,
26.0,0.022047049997167455,0.0027576673310250044,,,
27.0,0.02177922610607412,0.0027663030195981264,,,
28.0,0.021582553667119808,0.002750660292804241,,,
29.0,0.021478267110263308,0.0027789559680968523,0.5275304988026619,,
30.0,0.021480236942362455,0.0027829655446112156,,,
31.0,0.021438300642702315,0.002822053851559758,,,
32.0,0.02118408633189069,0.0028281169943511486,,,
33.0,0.02119251457456913,0.0028389424551278353,,,
34.0,0.02122735879694422,0.0028644774574786425,,,
35.0,0.020986555780594548,0.0028859104495495558,,,
36.0,0.020738628609105945,0.002875393256545067,,,
37.0,0.02067903357350992,0.0028823676984757185,,,
38.0,0.02071459756543239,0.002885998459532857,,,
39.0,0.020788189409714605,0.0028920338954776525,0.5209138318896294,,
40.0,0.020740851716448863,0.0029125462751835585,,,
41.0,0.02060626155179408,0.002905342960730195,,,
42.0,0.020533480298601917,0.0029241321608424187,,,
43.0,0.020537269712529248,0.0029210210777819157,,,
44.0,0.020582557464432386,0.0029327140655368567,,,
45.0,0.02057196813325087,0.002946889726445079,,,
46.0,0.02052096837510665,0.0029412817675620317,,,
47.0,0.020481777251180677,0.0029718694277107716,,,
48.0,0.020528466382788286,0.0029623915906995535,,,
49.0,0.020654292572289706,0.0029839735943824053,0.518736669793725,,
50.0,0.020697080736152,0.0030058284755796194,,,
51.0,0.020524192746314736,0.003003861987963319,,,
52.0,0.020418432070356277,0.00301104667596519,,,
53.0,0.020455978606931036,0.0030126695055514574,,,
54.0,0.020593205033284094,0.0030310342554003,,,
55.0,0.020650030047529272,0.0030385679565370083,,,
56.0,0.020502919344645407,0.003056630725041032,,,
57.0,0.020382720674905513,0.0030567164067178965,,,
58.0,0.02037236588489678,0.003054841887205839,,,
59.0,0.020446103687087696,0.0030644391663372517,0.5179468970745802,,
60.0,0.020532457869913843,0.0030731551814824343,,,
61.0,0.020493210094670453,0.003082751529291272,,,
62.0,0.02040016756599976,0.003091022139415145,,,
63.0,0.020368746236587566,0.0030858481768518686,,,
64.0,0.02039944563785361,0.003106915159150958,,,
65.0,0.020438764441965355,0.00309008895419538,,,
66.0,0.02044093702195419,0.0031275011133402586,,,
67.0,0.020397464005897443,0.0031058969907462597,,,
68.0,0.020383729138928983,0.0031398856081068516,,,
69.0,0.020394752430212167,0.0031247353181242943,0.5176503546535969,0.4905349612236023,0.8238906860351562
70.0,0.02040605009119544,0.0031488784588873386,,,
71.0,0.020394846422390804,0.00315190595574677,,,
72.0,0.020366703048348426,0.0031540612690150738,,,
73.0,0.020356960252134338,0.003173129865899682,,,
74.0,0.020358908351303804,0.003159173997119069,,,
75.0,0.02036230343911383,0.003189356066286564,,,
76.0,0.020351215289491745,0.003173175500705838,,,
77.0,0.020348033287251988,0.003193301148712635,,,
78.0,0.02034889020336171,0.003200792707502842,,,
79.0,0.020366504992254907,0.003184426110237837,0.5170893203467131,,
80.0,0.020397177442080444,0.003239923855289817,,,
81.0,0.020392824003679883,0.003178918734192848,,,
82.0,0.020347017214323082,0.0032623636070638895,,,
83.0,0.020314516948743,0.0031786903273314238,,,
84.0,0.020302819250565436,0.003281813580542803,,,
85.0,0.0203145171660516,0.003170013427734375,,,
86.0,0.020332754705515172,0.0033035643864423037,,,
87.0,0.020354110300540924,0.003189240815117955,,,
88.0,0.02034159925248888,0.0032860010396689177,,,
