epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
2361,0.4123170536298018,,1283.91,25201,1283.91
2362,0.39411075757100034,,9.05,24306,1292.96
2363,0.4104143724991725,,9.12,24938,1302.08
2364,0.41394859896256375,,9.01,24720,1311.09
2365,0.40459054249983567,0.7394329905509949,8.84,24725,1319.93
2366,0.39235347509384155,,9.55,24576,1329.48
2367,0.3785030830364961,,9.03,24575,1338.51
2368,0.4003345828789931,,9.14,24438,1347.64
2369,0.4035405906347128,,9.20,24728,1356.84
2370,0.3978863541896527,0.7030178308486938,9.38,24535,1366.22
2371,0.39768491570766157,,9.32,24985,1375.54
2372,0.3938884184910701,,9.72,24442,1385.26
2373,0.39435502657523525,,9.49,24793,1394.75
2374,0.39907706013092625,,9.17,24321,1403.91
2375,0.3921982393814967,0.7728163301944733,8.81,24853,1412.72
2376,0.4025400854074038,,9.37,24366,1422.09
2377,0.390644364632093,,8.91,24852,1431.00
2378,0.38433759716840893,,8.71,24378,1439.72
2379,0.40210615671597993,,9.26,24340,1448.97
2380,0.40299300047067493,0.6831167936325073,9.05,24536,1458.03
2381,0.39657779840322643,,9.01,25043,1467.03
2382,0.3906058898338905,,9.16,24557,1476.19
2383,0.40022608637809753,,8.62,24665,1484.81
2384,0.38637054425019485,,9.08,24258,1493.89
2385,0.3974134073807643,0.8223580121994019,8.86,24534,1502.75
2386,0.3808331764661349,,8.89,25282,1511.65
2387,0.3948457080584306,,8.55,25054,1520.19
2388,0.3861555869762714,,8.64,24888,1528.83
2389,0.395039459833732,,9.10,24537,1537.93
2390,0.40521543759566087,0.6482888758182526,9.13,24340,1547.06
2391,0.39796427809275114,,9.13,24554,1556.19
2392,0.4043830862412086,,9.18,24807,1565.37
2393,0.3822666429556333,,9.21,24351,1574.58
2394,0.4154284940316127,,8.59,24812,1583.18
2395,0.3980558216571808,0.7201355695724487,9.39,24708,1592.57
2396,0.3907774446102289,,9.19,24802,1601.76
2397,0.40794365910383373,,9.18,24899,1610.95
2398,0.39906208102519697,,9.16,24496,1620.11
2399,0.3975322636274191,,9.12,24490,1629.23
2400,0.38728418487768906,0.7837517559528351,8.99,24445,1638.22
2401,0.40225920998133147,,8.87,24097,1647.09
2402,0.3947311112513909,,8.49,24527,1655.59
2403,0.3931829791802626,,8.83,24788,1664.42
2404,0.4115904455001538,,9.09,24088,1673.51
2405,0.39198486850811887,0.7759304940700531,8.50,24477,1682.00
2406,0.39820332252062285,,8.77,24595,1690.78
2407,0.42038506040206325,,9.00,24361,1699.78
2408,0.3999078342547783,,8.69,24559,1708.47
2409,0.41403780304468596,,8.04,24314,1716.51
2410,0.40564087950266325,0.7213154435157776,8.09,25097,1724.60
2411,0.41139326187280506,,8.95,24501,1733.56
2412,0.382512255356862,,8.06,24568,1741.61
2413,0.4169712250049298,,7.91,24305,1749.53
2414,0.3696817343051617,,8.25,25065,1757.78
2415,0.3906013300785652,0.8272138237953186,7.97,25214,1765.74
2416,0.39363646851136136,,8.48,24901,1774.22
2417,0.3890531131854424,,8.14,24834,1782.36
2418,0.4176532236429361,,8.55,24309,1790.92
2419,0.40387850312086254,,8.42,24378,1799.33
2420,0.401670896089994,0.7883621156215668,8.90,24902,1808.23
2421,0.4056014877099257,,8.79,24799,1817.01
2422,0.3932467011305002,,8.71,24711,1825.72
2423,0.4014283831302936,,7.99,24987,1833.72
2424,0.3825515852524684,,8.43,24524,1842.15
2425,0.4052340800945575,0.7757945358753204,8.24,24818,1850.39
2426,0.39605601475789,,8.51,25218,1858.90
2427,0.4018725661131052,,8.21,24655,1867.11
2428,0.3874871868353624,,8.39,24360,1875.50
2429,0.4008435492332165,,8.20,24916,1883.70
2430,0.3931627686207111,0.7321783602237701,8.05,24639,1891.75
2431,0.3988130849141341,,8.77,24700,1900.52
2432,0.3914246123570662,,8.72,24720,1909.24
2433,0.38986594860370344,,8.80,24296,1918.04
2434,0.3935913535264822,,8.37,24348,1926.41
2435,0.37912999437405515,0.6627099215984344,8.62,24536,1935.04
2436,0.3902267744907966,,8.35,24570,1943.38
2437,0.38987863522309524,,7.92,24585,1951.30
2438,0.4245827541901515,,8.29,24617,1959.59
2439,0.39187673880503726,,8.40,24569,1967.99
2440,0.38864288421777576,0.8071884214878082,8.44,24851,1976.43
2441,0.3872209122547737,,8.64,25117,1985.07
2442,0.41009002923965454,,8.54,24455,1993.61
2443,0.4171961798117711,,8.13,24947,2001.74
2444,0.42865076202612656,,8.67,24373,2010.42
2445,0.38889806316449094,0.7777772843837738,8.69,25023,2019.11
2446,0.39216054861362165,,8.34,25008,2027.45
2447,0.40078932963884795,,8.59,25454,2036.04
2448,0.40640844977819,,8.75,24931,2044.79
2449,0.3928519533230708,,8.76,24936,2053.55
2450,0.3902719169855118,0.7839060127735138,8.58,24694,2062.12
2451,0.41260776152977574,,8.99,24903,2071.12
2452,0.3982165318268996,,8.64,24722,2079.76
2453,0.38297655490728527,,8.77,24535,2088.53
2454,0.4180721869835487,,8.85,24451,2097.38
2455,0.3972187409034142,0.7538530230522156,8.41,24599,2105.79
2456,0.4075437142298772,,8.91,24734,2114.69
2457,0.40008744597435,,9.13,25141,2123.82
2458,0.40292797868068403,,8.49,24922,2132.30
2459,0.41387078395256627,,8.44,24567,2140.74
2460,0.393268509553029,0.7518318891525269,8.42,24488,2149.15
2461,0.37867268232198864,,8.86,24478,2158.01
2462,0.3917155609681056,,8.98,24593,2166.99
2463,0.38233891358742345,,9.27,24667,2176.26
2464,0.41416404568232024,,9.13,24777,2185.39
2465,0.3845147696825174,0.7346912920475006,8.81,24325,2194.20
2466,0.40965972267664397,,8.83,24670,2203.04
2467,0.40165496789492094,,8.82,24227,2211.86
2468,0.40473877695890575,,8.76,24790,2220.62
2469,0.4099692152096675,,8.69,24706,2229.31
2470,0.4245616587308737,0.6648751199245453,9.15,24437,2238.46
2471,0.40146943697562587,,8.82,24942,2247.28
2472,0.39008396634688747,,8.74,24344,2256.03
2473,0.40233057966599095,,8.95,24557,2264.97
2474,0.3892743014372312,,8.44,24680,2273.41
2475,0.3966826636057634,0.6878066062927246,8.73,24689,2282.15
2476,0.4072321859689859,,8.88,24775,2291.03
2477,0.3970676431289086,,8.83,25313,2299.86
2478,0.40586107740035426,,8.62,24594,2308.48
2479,0.40055014536930966,,9.23,24596,2317.71
2480,0.4017126766534952,0.7007940709590912,8.82,24604,2326.53
2481,0.4116159425331996,,8.69,24503,2335.21
2482,0.405726996751932,,8.49,24395,2343.70
2483,0.3833336807214297,,8.77,24612,2352.47
2484,0.3847143352031708,,8.96,24694,2361.43
2485,0.4055837828379411,0.6882332265377045,8.68,24363,2370.11
2486,0.4025025184337909,,8.80,24949,2378.91
2487,0.40380107439481294,,8.67,24486,2387.58
2488,0.38305477454112125,,8.70,24460,2396.29
2489,0.3883100083241096,,8.45,24729,2404.73
2490,0.40136535351093,0.7398392558097839,8.87,24492,2413.60
2491,0.41362610917824966,,9.24,24721,2422.84
2492,0.4232764221154727,,8.36,24933,2431.20
2493,0.3945746651062599,,9.01,25037,2440.21
2494,0.39352428913116455,,9.11,24285,2449.32
2495,0.3968591873462384,0.787213921546936,9.48,24240,2458.80
2496,0.40074323461605954,,9.03,24640,2467.83
2497,0.4023657785012172,,8.99,24719,2476.82
2498,0.4078125999524043,,8.36,24508,2485.18
2499,0.4076538613209358,,9.20,24599,2494.38
