epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
4481,0.6425173431634903,,1856.84,53319,1856.84
4482,0.6163341328501701,,8.74,52687,1865.58
4483,0.6376112587749958,,8.83,52620,1874.41
4484,0.6680192351341248,,8.35,52699,1882.76
4485,0.6303662285208702,0.8995232979456583,8.56,52250,1891.32
4486,0.6435504108667374,,9.26,53421,1900.58
4487,0.6409083753824234,,8.07,54035,1908.64
4488,0.6643938831984997,,8.20,53806,1916.84
4489,0.6263944804668427,,8.02,53848,1924.85
4490,0.6146620139479637,0.8921843965848287,9.16,53720,1934.01
4491,0.635402612388134,,9.13,53530,1943.14
4492,0.6407682001590729,,8.57,53847,1951.71
4493,0.6529682874679565,,9.40,53676,1961.11
4494,0.6822380721569061,,9.00,53648,1970.10
4495,0.6531282365322113,0.922946055730184,9.41,53931,1979.51
4496,0.6329149417579174,,8.50,53614,1988.01
4497,0.6691089123487473,,8.82,53613,1996.82
4498,0.6176262460649014,,9.24,53785,2006.06
4499,0.6303326040506363,,8.87,53569,2014.93
4500,0.6619056463241577,0.9301244417826334,9.03,53845,2023.96
4501,0.6509633287787437,,8.84,54186,2032.80
4502,0.6230007112026215,,8.68,53839,2041.48
4503,0.6368001028895378,,8.44,53886,2049.92
4504,0.6783440709114075,,8.50,53566,2058.42
4505,0.6632943823933601,0.8917983969052633,8.89,53954,2067.31
4506,0.6537993662059307,,9.19,53881,2076.50
4507,0.6332067176699638,,9.42,54029,2085.92
4508,0.6475548297166824,,8.95,54020,2094.87
4509,0.6315016821026802,,9.23,53790,2104.10
4510,0.6342284642159939,0.8520586490631104,9.32,53553,2113.41
4511,0.6124176383018494,,9.32,53659,2122.74
4512,0.664922259747982,,8.96,53949,2131.69
4513,0.6793016567826271,,9.39,54068,2141.08
4514,0.678947888314724,,8.49,53645,2149.57
4515,0.6529921963810921,0.8186453382174174,8.29,53901,2157.86
4516,0.6543750837445259,,8.37,54101,2166.23
4517,0.6854603514075279,,8.41,53536,2174.64
4518,0.6713020876049995,,8.48,53885,2183.12
4519,0.6601815447211266,,8.35,53942,2191.46
4520,0.6569842919707298,0.8969209790229797,8.54,54018,2200.01
4521,0.6259414032101631,,8.64,54050,2208.65
4522,0.623384140431881,,8.54,53974,2217.19
4523,0.6528811156749725,,8.33,53846,2225.52
4524,0.6543738916516304,,9.02,53988,2234.55
4525,0.6357770338654518,0.8662751118342081,8.85,53439,2243.40
4526,0.6281432323157787,,14.34,54070,2257.73
4527,0.661495678126812,,8.50,52515,2266.23
4528,0.659183956682682,,8.93,52563,2275.16
4529,0.6199904009699821,,9.25,52665,2284.41
4530,0.6341753378510475,0.8679611881573995,8.46,52707,2292.87
4531,0.6300312429666519,,8.67,52622,2301.54
4532,0.661848708987236,,9.23,52642,2310.77
4533,0.6470032632350922,,9.04,52986,2319.80
4534,0.6287424862384796,,9.10,52496,2328.90
4535,0.6545842066407204,0.8505394260088602,8.16,52667,2337.06
4536,0.6910047009587288,,8.01,52654,2345.07
4537,0.6736716255545616,,8.50,52370,2353.57
4538,0.6483566462993622,,8.51,52586,2362.08
4539,0.6371292024850845,,8.87,52626,2370.95
4540,0.6693605855107307,0.8110347191492716,9.09,52629,2380.04
4541,0.6189633905887604,,9.10,52575,2389.14
4542,0.6436936035752296,,8.75,52549,2397.90
4543,0.6349868625402451,,9.17,52639,2407.07
4544,0.6185661777853966,,9.18,52427,2416.25
4545,0.6512065455317497,0.8402228951454163,9.22,52719,2425.47
4546,0.6727638989686966,,8.50,53076,2433.97
4547,0.6272942125797272,,8.10,52653,2442.07
4548,0.6225556805729866,,8.63,52466,2450.70
4549,0.6508644297719002,,8.59,53037,2459.29
4550,0.6568806394934654,0.9075755079587301,8.27,52966,2467.56
4551,0.6819423213601112,,8.52,52527,2476.08
