step,train_loss,val_loss
1.0,0.7512151658535003,1.2649278938770294
2.0,0.7151702523231507,
3.0,0.6925026535987854,
4.0,0.6747535586357116,
5.0,0.662704473733902,1.2073250114917755
6.0,0.6518669605255127,
7.0,0.6411115646362304,
8.0,0.6277267634868622,
9.0,0.6098633050918579,
10.0,0.5925053626298904,1.0620526671409607
11.0,0.5767483800649643,
12.0,0.5608399420976639,
13.0,0.5457561761140823,
14.0,0.531576406955719,
15.0,0.519121190905571,0.9721616357564926
16.0,0.5092597067356109,
17.0,0.5014630883932114,
18.0,0.49583934545516967,
19.0,0.49197799563407896,
20.0,0.48833954334259033,0.9330247044563293
21.0,0.4851986825466156,
22.0,0.4823433578014374,
23.0,0.4797035217285156,
24.0,0.47723503708839415,
25.0,0.47481856048107146,0.9115139096975327
26.0,0.4731955349445343,
27.0,0.4702664315700531,
28.0,0.46796649098396303,
29.0,0.4654603213071823,
30.0,0.46252450346946716,0.8845818042755127
31.0,0.45998031497001646,
32.0,0.4592645674943924,
33.0,0.4546525239944458,
34.0,0.4511460602283478,
35.0,0.4479969024658203,0.856872946023941
36.0,0.4446925073862076,
37.0,0.4410099357366562,
38.0,0.4378738820552826,
39.0,0.43500328063964844,
40.0,0.43127394318580625,0.8252478688955307
41.0,0.42817298173904417,
42.0,0.4252937316894531,
43.0,0.42188798189163207,
44.0,0.4181929141283035,
45.0,0.4148128807544708,0.7896963953971863
46.0,0.4115349352359772,
47.0,0.40758880972862244,
48.0,0.4047204256057739,
49.0,0.40265296697616576,
50.0,0.4032161861658096,0.7653144747018814
51.0,0.39866531193256377,
52.0,0.3952669233083725,
53.0,0.39285687506198885,
54.0,0.3908447057008743,
55.0,0.38907322883605955,0.7336960732936859
56.0,0.38717020452022555,
57.0,0.38576099276542664,
58.0,0.38405789732933043,
59.0,0.3828622311353683,
60.0,0.3814083218574524,0.7160060852766037
61.0,0.3799367606639862,
62.0,0.3786014229059219,
63.0,0.37736821472644805,
64.0,0.3765376999974251,
65.0,0.37707690596580506,0.7028481438755989
66.0,0.37631866335868835,
67.0,0.37387472987174986,
68.0,0.3716158136725426,
69.0,0.370205819606781,
70.0,0.36903626620769503,0.688321016728878
71.0,0.36792155504226687,
72.0,0.3669343262910843,
73.0,0.36599325835704805,
74.0,0.36510142385959626,
75.0,0.36404246389865874,0.6777613162994385
76.0,0.363453084230423,
77.0,0.36280906200408936,
78.0,0.361678808927536,
79.0,0.3608659625053406,
80.0,0.36013359427452085,0.6685948222875595
81.0,0.35927757918834685,
82.0,0.3584847837686539,
83.0,0.3578237980604172,
84.0,0.35703098475933076,
85.0,0.3562519997358322,0.6607893332839012
86.0,0.35560559034347533,
87.0,0.3549402475357056,
88.0,0.3545223593711853,
89.0,0.3549281656742096,
90.0,0.35351450443267823,0.6544991135597229
91.0,0.35264923274517057,
92.0,0.3522735208272934,
93.0,0.3528554230928421,
94.0,0.3518379271030426,
95.0,0.3543199345469475,0.6496782898902893
96.0,0.3516154170036316,
97.0,0.3512319356203079,
98.0,0.34976037591695786,
99.0,0.34766371697187426,
100.0,0.3465388357639313,0.6412375345826149
101.0,0.3456880211830139,
102.0,0.34486528784036635,
103.0,0.3441375344991684,
104.0,0.3434655278921127,
105.0,0.3427031755447388,0.633139505982399
106.0,0.341919532418251,
107.0,0.34112715125083926,
108.0,0.3403410851955414,
109.0,0.33978161215782166,
110.0,0.3389114856719971,0.6254668086767197
111.0,0.33804296851158144,
112.0,0.3372333914041519,
113.0,0.3364823818206787,
114.0,0.33560178577899935,
115.0,0.3347996950149536,0.6169355362653732
116.0,0.33398433327674865,
117.0,0.3332561731338501,
118.0,0.33251123428344725,
119.0,0.3316246420145035,
120.0,0.33064078390598295,0.6084785312414169
121.0,0.3298298716545105,
122.0,0.32914728224277495,
123.0,0.32830232977867124,
124.0,0.3273767650127411,
125.0,0.3267837271094322,0.6003749892115593
126.0,0.3255618721246719,
127.0,0.32446483373641966,
128.0,0.3236194163560867,
129.0,0.32302697002887726,
130.0,0.3228524088859558,0.5947867706418037
131.0,0.32239030599594115,
132.0,0.3209546610713005,
133.0,0.3201285064220428,
134.0,0.3189370512962341,
135.0,0.31762507259845735,0.5830919221043587
136.0,0.31686072498559953,
137.0,0.3159378796815872,
138.0,0.31489511132240294,
139.0,0.3139498561620712,
140.0,0.3129759952425957,0.5732296258211136
141.0,0.31221731603145597,
142.0,0.31160984486341475,
143.0,0.31111474633216857,
144.0,0.3100870609283447,
145.0,0.3090732365846634,0.5649327486753464
146.0,0.30819772034883497,
147.0,0.30730382204055784,
148.0,0.3064625471830368,
149.0,0.3056579068303108,
150.0,0.3045156329870224,0.5570471882820129
151.0,0.3037959456443787,
152.0,0.3031171515583992,
153.0,0.301900252699852,
154.0,0.3016647696495056,
155.0,0.30157447308301927,0.5493752062320709
156.0,0.2998614370822906,
157.0,0.2995315074920654,
158.0,0.2989568993449211,
159.0,0.29749178886413574,
160.0,0.29665174037218095,0.5414112210273743
161.0,0.2959338158369064,
162.0,0.29506905823946,
163.0,0.2942808225750923,
164.0,0.29313122034072875,
165.0,0.29235554933547975,0.5340788960456848
166.0,0.29180725663900375,
167.0,0.2907536387443542,
168.0,0.29029909521341324,
169.0,0.2895467668771744,
170.0,0.28857276439666746,0.5269435048103333
171.0,0.28815566301345824,
172.0,0.2874282687902451,
173.0,0.2867660909891129,
174.0,0.286043818295002,
175.0,0.2852807521820068,0.5206063911318779
176.0,0.2845860466361046,
177.0,0.28378955125808714,
178.0,0.2831415832042694,
179.0,0.2827425256371498,
180.0,0.28282441943883896,0.5149295032024384
181.0,0.28212850242853166,
182.0,0.28128014504909515,
183.0,0.28047131299972533,
184.0,0.27995857447385786,
185.0,0.2794995754957199,0.509316012263298
186.0,0.2787752538919449,
187.0,0.2777965173125267,
188.0,0.2773658484220505,
189.0,0.27656899988651273,
190.0,0.2762422576546669,0.5040584579110146
191.0,0.2763817846775055,
192.0,0.2758749470114708,
193.0,0.2747438818216324,
194.0,0.27391764223575593,
195.0,0.2733553260564804,0.49835817515850067
196.0,0.2726670727133751,
197.0,0.2720953419804573,
198.0,0.2717138543725014,
199.0,0.2711469233036041,
200.0,0.2705171018838882,0.49287210404872894
201.0,0.2701033025979996,
202.0,0.2693411991000175,
203.0,0.2690004572272301,
204.0,0.2682558536529541,
205.0,0.26804438382387163,0.4877275377511978
206.0,0.2671572774648666,
207.0,0.2667694628238678,
208.0,0.266255384683609,
209.0,0.2657825112342834,
210.0,0.2662089064717293,0.4831028878688812
211.0,0.2649435043334961,
212.0,0.2649122282862663,
213.0,0.26660051494836806,
214.0,0.2652222216129303,
215.0,0.2652040347456932,0.4818916842341423
