epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
2046,0.7895654534038744,,1883.66,53404,1883.66
2047,0.7618445158004761,,16.07,52749,1899.73
2048,0.7721815862153706,,16.27,52990,1916.00
2049,0.7664203110494112,,17.09,52617,1933.09
2050,0.7584030753687808,1.34236378967762,16.17,52501,1949.26
2051,0.7682597135242663,,15.92,52868,1965.18
2052,0.7602053629724603,,16.31,52835,1981.49
2053,0.7677568479588157,,15.32,52694,1996.81
2054,0.7835996182341325,,15.40,52697,2012.22
2055,0.7672178776640641,1.35551817715168,16.14,52779,2028.35
2056,0.7743230273849085,,15.14,52783,2043.49
2057,0.7887785685689825,,21.61,52920,2065.10
2058,0.7832165674159401,,16.32,52730,2081.42
2059,0.7544463308233964,,15.19,53002,2096.61
2060,0.7493703522180256,1.3332462757825851,15.63,52651,2112.24
2061,0.773984576526441,,16.39,52653,2128.63
2062,0.7731067663744876,,15.89,52565,2144.52
2063,0.7632466491899992,,16.21,52646,2160.73
2064,0.7866952231055812,,16.33,52594,2177.06
2065,0.772974945996937,1.323312133550644,15.53,52690,2192.59
2066,0.7580932033689398,,16.41,52892,2209.00
2067,0.7891736469770733,,16.01,52438,2225.01
2068,0.807257984813891,,16.34,52763,2241.35
2069,0.7789528965950012,,16.22,52724,2257.57
2070,0.7756958886196739,1.3002251237630844,16.27,53109,2273.84
2071,0.7592298764931528,,16.23,52539,2290.07
2072,0.7780355215072632,,16.52,52714,2306.59
2073,0.7666240899186385,,15.93,52718,2322.52
2074,0.7913437360211423,,16.63,52663,2339.15
2075,0.7712660682828802,1.2995047718286514,15.69,52940,2354.84
2076,0.7782891361336959,,15.31,52631,2370.14
2077,0.7745974534436276,,15.40,52887,2385.55
2078,0.8030638318312796,,16.98,52799,2402.53
2079,0.7808859442409716,,15.82,52783,2418.35
2080,0.7998963437582317,1.3529897779226303,16.07,53019,2434.42
2081,0.7646008228000841,,16.90,53012,2451.32
2082,0.7693097089466295,,16.11,52779,2467.43
2083,0.7320006709349783,,15.96,52757,2483.39
2084,0.7903882453316137,,16.78,52757,2500.17
2085,0.7478158881789759,1.3627628087997437,15.28,52728,2515.45
2086,0.7616272709871593,,15.77,52679,2531.22
2087,0.773814226451673,,17.13,52568,2548.35
2088,0.7635490235529447,,16.51,52678,2564.85
2089,0.7686561283312345,,16.37,52609,2581.22
2090,0.7757470733241031,1.3331923484802246,15.87,52694,2597.09
2091,0.8010614294754831,,15.18,52652,2612.27
2092,0.7542917038265028,,15.46,52627,2627.73
2093,0.7670959516575462,,15.55,52618,2643.28
2094,0.7835853821352908,,15.84,52678,2659.12
2095,0.7718818658276608,1.3046348839998245,15.87,53100,2674.98
2096,0.7687726867826361,,15.72,52782,2690.71
2097,0.7791670560836792,,16.70,52693,2707.40
2098,0.7511075703721297,,16.00,52621,2723.40
2099,0.7790179252624512,,16.08,52865,2739.48
2100,0.7688991176454645,1.3026751279830933,15.78,52682,2755.26
2101,0.7853393931137888,,16.31,52920,2771.57
2102,0.7493252816953158,,16.27,53029,2787.84
2103,0.7958590074589378,,15.91,52520,2803.76
2104,0.7760715610102603,,15.77,52846,2819.52
2105,0.7585177107861167,1.3552354872226715,15.86,52700,2835.38
2106,0.7651441222742984,,16.22,52724,2851.60
2107,0.7739675578318144,,15.50,52564,2867.10
2108,0.767015698708986,,15.88,53029,2882.98
2109,0.784261797603808,,15.60,52543,2898.58
2110,0.7639954717535722,1.361580029129982,16.50,52706,2915.07
2111,0.7778026994905973,,15.85,52870,2930.92
2112,0.7853768499274003,,15.67,52995,2946.59
2113,0.7637230581358859,,15.58,52701,2962.17
2114,0.7565846537288866,,16.34,52832,2978.51
