step,train_mse,latent_rms,train_rel_l2,latent_dependence,heldout_codec_rel_l2
0.0,0.09857119901312722,0.00018054581596516073,1.0299739316105843,0.01153167150914669,0.6270629167556763
1.0,0.06481880493876006,0.0002815564803313464,,,
2.0,0.05543177051676644,0.0003766881418414414,,,
3.0,0.049579102343155275,0.00048698679893277586,,,
4.0,0.049527676440775395,0.0006522941985167563,,,
5.0,0.04804796203556988,0.0008180568111129105,,,
6.0,0.047056968042420017,0.0010144247207790613,,,
7.0,0.04786981411278248,0.0011739362962543964,,,
8.0,0.045232425356904665,0.0013452322455123067,,,
9.0,0.04244977725876702,0.0015150527469813824,0.721181608736515,,
10.0,0.038293176717642284,0.0016717921243980527,,,
11.0,0.03669376499330004,0.001782551989890635,,,
12.0,0.03435723567381501,0.001885581063106656,,,
13.0,0.031164431965185535,0.0019479666370898485,,,
14.0,0.029831612770342165,0.002014832105487585,,,
15.0,0.028120872125857406,0.002033484634011984,,,
16.0,0.026888443862812385,0.002065227832645178,,,
17.0,0.025874670464545488,0.002094297669827938,,,
18.0,0.024943594373762607,0.002099807607010007,,,
19.0,0.0240854441974726,0.0021295277401804924,0.5620198249816895,,
20.0,0.023370271254744796,0.0021426717285066843,,,
21.0,0.022951009730911916,0.002182294148951769,,,
22.0,0.022738771175758708,0.002177461050450802,,,
23.0,0.0222860653574268,0.0022058673202991486,,,
24.0,0.021846814172135458,0.0021930672228336334,,,
25.0,0.021605144657401574,0.002213807078078389,,,
26.0,0.02148660583111147,0.0022188916336745024,,,
27.0,0.021460188262992435,0.002251481171697378,,,
28.0,0.021436509795279966,0.0022621420212090015,,,
29.0,0.021271863538357947,0.0022879450116306543,0.5247548669576645,,
30.0,0.021133126825508143,0.0022995860781520605,,,
31.0,0.021089571099728345,0.0023212097585201263,,,
32.0,0.021098438228170077,0.0023369186092168093,,,
33.0,0.020984120262372823,0.0023585029412060976,,,
34.0,0.02084473048026363,0.002364800311625004,,,
35.0,0.02080452515019311,0.002389125060290098,,,
36.0,0.02082850016446577,0.0023959397803992033,,,
37.0,0.02081733392448061,0.0024170572869479656,,,
38.0,0.02071313851616449,0.0024232801515609026,,,
