epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
3486,0.40698192899043745,,1283.50,25201,1283.50
3487,0.38841640490752,,8.69,24306,1292.19
3488,0.4043404689201942,,8.74,24938,1300.93
3489,0.4079977973149373,,8.16,24720,1309.09
3490,0.3992850321989793,0.7519258558750153,8.04,24725,1317.14
3491,0.3866973381776076,,7.77,24576,1324.91
3492,0.37301845390063065,,7.89,24575,1332.80
3493,0.3943163248208853,,8.10,24438,1340.90
3494,0.39805198174256545,,7.92,24728,1348.82
3495,0.3916997771996718,0.7176604270935059,7.99,24535,1356.81
3496,0.3917863162664267,,8.58,24985,1365.39
3497,0.38842540291639477,,8.57,24442,1373.97
3498,0.3885468863523923,,8.42,24793,1382.39
3499,0.3936445162846492,,7.73,24321,1390.11
3500,0.38714366922011745,0.784122496843338,7.84,24853,1397.96
