step,diffusion_loss
0.0,1.001166820526123
200.0,0.15067976713180542
400.0,0.06636790931224823
600.0,0.021688777953386307
800.0,0.2610546946525574
1000.0,0.09133383631706238
1200.0,0.01834294945001602
1400.0,0.022985780611634254
1600.0,0.16692110896110535
1800.0,0.11349648982286453
2000.0,0.046020302921533585
2200.0,0.3193710446357727
2400.0,0.2109728455543518
2600.0,0.08695030957460403
2800.0,0.04265063256025314
3000.0,0.07507835328578949
3200.0,0.12850309908390045
3400.0,0.15484479069709778
3600.0,0.19797024130821228
3800.0,0.09891384094953537
4000.0,0.17541208863258362
4200.0,0.08825388550758362
4400.0,0.013039160519838333
4600.0,0.12845222651958466
4800.0,0.08419746160507202
5000.0,0.09134425222873688
5200.0,0.09650528430938721
5400.0,0.11383217573165894
5600.0,0.11933659762144089
5800.0,0.10241968929767609
6000.0,0.013039483688771725
6200.0,0.1667703539133072
6400.0,0.05574680119752884
6600.0,0.139523446559906
6800.0,0.17628702521324158
7000.0,0.015180778689682484
7200.0,0.036658160388469696
7400.0,0.22458919882774353
7600.0,0.0689966082572937
7800.0,0.2109304815530777
8000.0,0.17948506772518158
8200.0,0.03313365951180458
8400.0,0.04743139445781708
8600.0,0.1294569969177246
8800.0,0.20171163976192474
9000.0,0.0817006528377533
9200.0,0.13953596353530884
9400.0,0.052859656512737274
9600.0,0.07590632885694504
9800.0,0.09160376340150833
10000.0,0.07719191163778305
10200.0,0.08667494356632233
10400.0,0.06511616706848145
10600.0,0.14922355115413666
10800.0,0.03458075597882271
11000.0,0.05811595171689987
11200.0,0.2917788028717041
11400.0,0.05736174434423447
11600.0,0.024467332288622856
11800.0,0.15140631794929504
12000.0,0.161329448223114
12200.0,0.09366112947463989
12400.0,0.029199708253145218
12600.0,0.10388697683811188
12800.0,0.01984391361474991
13000.0,0.026570215821266174
13200.0,0.1378103345632553
13400.0,0.20292721688747406
13600.0,0.03893820196390152
13800.0,0.14273959398269653
14000.0,0.1537735015153885
14200.0,0.017009537667036057
14400.0,0.1195598915219307
14600.0,0.21244214475154877
14800.0,0.05784177780151367
15000.0,0.059994347393512726
15200.0,0.19539400935173035
15400.0,0.09485633671283722
15600.0,0.06937623769044876
15800.0,0.06797464191913605
16000.0,0.04316277801990509
16200.0,0.12501661479473114
16400.0,0.03964196890592575
16600.0,0.09909838438034058
16800.0,0.05709393694996834
17000.0,0.02707364596426487
17200.0,0.0475848987698555
17400.0,0.14267486333847046
17600.0,0.08638682961463928
17800.0,0.1861521452665329
18000.0,0.1090758889913559
18200.0,0.0238044410943985
18400.0,0.05057389661669731
18600.0,0.2422037124633789
18800.0,0.052443727850914
19000.0,0.20315729081630707
19200.0,0.09565224498510361
19400.0,0.09745056182146072
19600.0,0.09147155284881592
19800.0,0.06950533390045166
20000.0,0.048467930406332016
20200.0,0.229078471660614
20400.0,0.05255712941288948
20600.0,0.057044778019189835
20800.0,0.0871942788362503
21000.0,0.032783184200525284
21200.0,0.1202029287815094
21400.0,0.013816030696034431
21600.0,0.1607411503791809
21800.0,0.07596126198768616
22000.0,0.022513076663017273
22200.0,0.2345115840435028
22400.0,0.1773582547903061
22600.0,0.12194297462701797
22800.0,0.20509235560894012
23000.0,0.10063952952623367
23200.0,0.24091656506061554
23400.0,0.03666030615568161
23600.0,0.15982381999492645
23800.0,0.14835205674171448
24000.0,0.09191617369651794
24200.0,0.012823051773011684
24400.0,0.04219594597816467
24600.0,0.16157250106334686
24800.0,0.09485183656215668
25000.0,0.02363983355462551
25200.0,0.18132227659225464
25400.0,0.1668335199356079
25600.0,0.013342570513486862
25800.0,0.14190338551998138
26000.0,0.3128833770751953
26200.0,0.06666987389326096
26400.0,0.03152509033679962
26600.0,0.02680114097893238
26800.0,0.04113335907459259
27000.0,0.18578341603279114
27200.0,0.14887577295303345
27400.0,0.019394701346755028
27600.0,0.05800473317503929
27800.0,0.049653999507427216
28000.0,0.06702045351266861
