epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
2886,0.7119696512818336,,1458.81,52987,1458.81
2887,0.712347574532032,,7.65,53016,1466.46
2888,0.7195858880877495,,7.40,52679,1473.87
2889,0.6880008056759834,,7.14,52680,1481.00
2890,0.7524582594633102,0.9330923755963644,7.68,52476,1488.69
2891,0.7374364733695984,,7.09,52742,1495.78
2892,0.7159680351614952,,6.95,52228,1502.73
2893,0.7127428501844406,,6.71,52843,1509.44
2894,0.739434078335762,,7.33,52582,1516.77
2895,0.7040844857692719,0.9298426707585653,7.16,52680,1523.92
2896,0.740857221186161,,7.74,52728,1531.67
2897,0.7223532721400261,,7.23,52670,1538.90
2898,0.6987778842449188,,7.34,52199,1546.25
2899,0.6863040402531624,,6.74,52372,1552.99
2900,0.7338748276233673,0.8930004239082336,7.54,52802,1560.54
2901,0.6744494587182999,,7.27,52351,1567.81
2902,0.721207320690155,,7.76,52570,1575.56
2903,0.6962528824806213,,7.73,52338,1583.29
2904,0.6737213656306267,,7.57,52405,1590.86
2905,0.680987037718296,0.9078319470087687,6.98,52910,1597.84
2906,0.6835449784994125,,7.69,52868,1605.52
2907,0.7192979827523232,,7.12,52467,1612.64
2908,0.711825929582119,,7.26,52946,1619.90
2909,0.7358532622456551,,6.87,52674,1626.77
2910,0.7151939570903778,0.9417660037676493,7.25,52759,1634.02
2911,0.7042852267622948,,7.50,52519,1641.53
2912,0.7255371510982513,,7.08,52331,1648.60
2913,0.70737374573946,,7.56,52875,1656.17
2914,0.741565652191639,,7.60,52582,1663.76
2915,0.7288926392793655,0.9100826780001322,7.43,52626,1671.20
2916,0.7153453677892685,,7.23,52847,1678.43
2917,0.6869573816657066,,7.25,52582,1685.68
2918,0.7019054368138313,,6.99,52632,1692.67
2919,0.6792013421654701,,7.27,52836,1699.93
2920,0.7246335074305534,0.8960145314534506,7.56,52959,1707.50
2921,0.6597775593400002,,7.58,52223,1715.07
2922,0.7330670207738876,,6.82,52666,1721.89
2923,0.7469454109668732,,7.03,52633,1728.92
2924,0.7334121391177177,,6.99,52523,1735.90
2925,0.7042790576815605,0.9248843391736349,7.17,52480,1743.08
2926,0.7026847451925278,,6.94,52549,1750.02
2927,0.7997957989573479,,7.38,52382,1757.40
2928,0.6733170598745346,,7.42,52703,1764.82
2929,0.7371531501412392,,7.41,52594,1772.23
2930,0.6823767125606537,1.0012650887171428,7.37,52877,1779.60
2931,0.708921529352665,,7.14,52615,1786.74
2932,0.6966051757335663,,6.75,52867,1793.49
2933,0.7687240168452263,,6.97,52279,1800.45
2934,0.6914760023355484,,6.97,53202,1807.43
2935,0.7668882831931114,0.8803417881329855,7.19,52504,1814.61
2936,0.737574502825737,,7.14,52543,1821.76
2937,0.6947861239314079,,7.57,52456,1829.33
2938,0.7116373032331467,,7.08,52819,1836.41
2939,0.7506915628910065,,7.58,53019,1843.99
2940,0.7165243960916996,0.8636053800582886,7.80,52976,1851.79
2941,0.7095662206411362,,7.74,52763,1859.53
2942,0.7264833748340607,,7.43,52403,1866.96
2943,0.6944673210382462,,7.54,52749,1874.50
