epoch,train_loss,val_loss,epoch_time_s,peak_gpu_mem_mb,cumul_train_time_s
2146,0.7194448783993721,,86.10,53153,86.10
2147,0.7099670022726059,,8.23,52687,94.33
2148,0.7225241959095001,,8.64,52620,102.97
2149,0.7588111311197281,,8.24,52699,111.21
2150,0.7167912498116493,0.8674944043159485,8.43,52250,119.64
2151,0.7366984188556671,,8.31,53421,127.95
2152,0.7358098030090332,,8.25,54035,136.20
2153,0.7720993086695671,,8.63,53699,144.83
2154,0.7250380888581276,,8.55,52680,153.38
2155,0.7067360803484917,0.8435779015223185,9.55,52552,162.93
2156,0.7239505723118782,,8.76,52362,171.69
2157,0.7314670532941818,,8.45,52679,180.14
2158,0.7574315145611763,,9.08,52509,189.22
2159,0.7895112261176109,,8.43,52480,197.65
2160,0.7508491054177284,0.8886418541272482,8.52,52764,206.17
2161,0.7344936206936836,,8.32,52446,214.49
2162,0.7732587233185768,,8.31,52445,222.79
2163,0.7008713036775589,,8.43,52617,231.23
2164,0.7307270988821983,,8.40,52401,239.63
2165,0.7670996934175491,0.870728611946106,8.62,52677,248.25
2166,0.7575037702918053,,8.69,53018,256.93
2167,0.7300689592957497,,8.29,52671,265.22
2168,0.7326495870947838,,8.81,52718,274.03
2169,0.7728040963411331,,8.92,52399,282.96
2170,0.7543840035796165,0.8687770565350851,8.64,52786,291.60
2171,0.7506649792194366,,8.35,52713,299.94
2172,0.7375275790691376,,8.14,52862,308.09
2173,0.7405466809868813,,8.08,52852,316.16
2174,0.7325160875916481,,8.39,52622,324.56
2175,0.7142110541462898,0.824296772480011,8.50,52385,333.05
2176,0.7269586473703384,,8.15,52491,341.20
2177,0.7858205810189247,,7.74,52782,348.95
2178,0.7774604856967926,,8.46,52900,357.41
2179,0.7977828681468964,,8.41,52477,365.81
2180,0.7571531310677528,0.8128429452578226,8.49,52733,374.30
2181,0.7316097989678383,,7.46,52934,381.76
2182,0.7790172845125198,,7.96,52368,389.73
2183,0.7547217980027199,,8.43,52718,398.16
